"Story","Title","Result","Date","Stability","Duration (s)"
"Login User","As a user I can't login without path","SUCCESS","2023-11-12T00:04:08.712868+07:00[Asia/Jakarta]","0.0","0.25"
"Login User","As a user I can't login if I don't fill in the login request","SUCCESS","2023-11-12T00:04:08.968318+07:00[Asia/Jakarta]","0.0","0.24"
"Login User","As a user I can't login if I don't fill in the email request","SUCCESS","2023-11-12T00:04:09.214839+07:00[Asia/Jakarta]","0.0","0.19"
"Login User","As a user I can't login if I don't fill in the password request","SUCCESS","2023-11-12T00:04:09.410216+07:00[Asia/Jakarta]","0.0","0.25"
"Login User","As a user I can't login with an invalid email","SUCCESS","2023-11-12T00:04:09.660977+07:00[Asia/Jakarta]","0.0","0.45"
"Login User","As a user I can't login with an invalid password","SUCCESS","2023-11-12T00:04:10.112783+07:00[Asia/Jakarta]","0.0","0.57"
